Cust_Branch,Cust_Phone,Cust_Name,ReceiptNo,ReceiptDate,Total_Package,Total_Weight,Total_Received_Amount,Deleted_Flag
KPO Thamrin City,87888599279,SRIYANI,RTMCL7VG867E8J,2021-08-25 10:25:00.935,1,1.0,5000.0,N
KPO Thamrin City,81284366390,ISLAH STORE,RTMCL7VG86KB0Y,2021-08-25 10:25:00.936,1,1.0,5000.0,N
KPO Thamrin City,85212580720,DEVI COLLECTION,RTMCL7VG86V0JE,2021-08-25 10:25:00.937,1,1.0,5000.0,N
KPO Thamrin City,81584797977,AMBIGU,RTMCL7VG89490E,2021-08-25 10:25:00.938,1,1.0,5000.0,N
KPO Thamrin City,8123356332500,BOUTIQMANIS,RTMCL7VG894953,2021-08-25 10:25:00.939,1,1.0,5000.0,N
KPO Thamrin City,8128889378,D'LOVERA,RTMCL7VG8949N3,2021-08-25 10:25:00.940,1,4.0,20000.0,N
KPO Thamrin City,859600895030,NINDAH FASHION,RTMCL7VG895YPJ,2021-08-25 10:25:00.941,1,2.0,14700.0,N
KPO Thamrin City,87786615070,AR LABEL STORE,RTMCL7VG8EVVJW,2021-08-25 10:25:00.942,1,1.0,5000.0,N
KPO Thamrin City,81299666091,MG HIJAB,RTMCL7VG8EVVVY,2021-08-25 10:25:00.943,1,1.0,5000.0,N
KPO Thamrin City,81287583809,NAIMAH,RTMCL7VG8KJPNE,2021-08-25 10:25:00.944,1,2.0,10000.0,N
KPO Thamrin City,813889182870,AGOEST,RTMCL7VG8KY3QY,2021-08-25 10:25:00.945,1,8.0,40000.0,N
KPO Thamrin City,85212036300,ANGGUN,RTMCL7V5Y1K013,2021-08-25 10:25:00.946,1,1.0,5000.0,N
KPO Thamrin City,857183355130,HIJAB SHAZIA,RTMCL7V5Y1VQ8J,2021-08-25 10:25:00.947,1,1.0,5000.0,N
KPO Thamrin City,81281063002,ME COLLECTION,RTMCL7V5Y4BP0E,2021-08-25 10:25:00.948,1,1.0,5000.0,N
KPO Thamrin City,81281063002,ME COLLECTION,RTMCL7V5Y4N3QW,2021-08-25 10:25:00.949,1,1.0,5000.0,N
KPO Thamrin City,8128625928,BRISHA,RTMCL7V5Y4N3QY,2021-08-25 10:25:00.950,1,1.0,5000.0,N
KPO Thamrin City,81290434160,GALLERY DEVINA,RTMCL7V5Y4N3YW,2021-08-25 10:25:00.951,1,1.0,5000.0,N
KPO Thamrin City,81315900312,SS TNB,RTMCL7V5Y4N63Y,2021-08-25 10:25:00.952,1,15.0,630000.0,N
KPO Thamrin City,2131990440,INDIAN VILLAGE,RTMCL7V5Y4N66Y,2021-08-25 10:25:00.953,1,1.0,7400.0,N
KPO Thamrin City,81210500325,SHAYARA SYAR'I,RTMCL7V5Y4N68Y,2021-08-25 10:25:00.954,1,1.0,5000.0,N
KPO Thamrin City,81321890140,ALENA MUKENA,RTMCL7V5Y4YJ5E,2021-08-25 10:25:00.955,1,4.0,20000.0,N
KPO Thamrin City,812965495620,ADKA SHOP,RTMCL7V5Y7VJZY,2021-08-25 10:25:00.956,1,1.0,5000.0,N
KPO Thamrin City,8778922657900,NOVI,RTMCL7V5YD3Z5G,2021-08-25 10:25:00.957,1,1.0,5000.0,N
KPO Thamrin City,8118332919,FEBYSHOPTC,RTMCL7V5YD3ZDJ,2021-08-25 10:25:00.958,1,1.0,5000.0,N
KPO Thamrin City,81290434160,GALLERY DEVINA,RTMCL7V5YD3ZGJ,2021-08-25 10:25:00.959,1,2.0,10000.0,N
KPO Thamrin City,82233649729,CERILLO,RTMCL7V5YD3ZJJ,2021-08-25 10:25:00.960,1,2.0,10000.0,N
KPO Thamrin City,8787796765000,ALETHA,RTMCL7V5YJMVBE,2021-08-25 10:25:00.961,1,1.0,5000.0,N
KPO Thamrin City,85269994390,BUTIQ ANNA,RTMCL7V5YJYE6J,2021-08-25 10:25:00.962,1,1.0,5000.0,N
KPO Thamrin City,85774624266,S&R,RTMCL7V5YJYE9J,2021-08-25 10:25:00.963,1,3.0,126000.0,N
KPO Thamrin City,83808943299,D'OL SHOP,RTMCL7V5YJYEKJ,2021-08-25 10:25:00.964,1,1.0,5000.0,N
KPO Thamrin City,81297438916,FIDELLA COLLECTION,RTMCL7V5YV67XY,2021-08-25 10:25:00.965,1,1.0,9800.0,N
KPO Thamrin City,81317517950,HUMAYRA,RTMCL7V5YWD8DJ,2021-08-25 10:25:00.966,1,1.0,5000.0,N
KPO Thamrin City,87888023812,AR LABEL STORE,RTMCL7V5YWD8GG,2021-08-25 10:25:00.967,1,1.0,5000.0,N
KPO Thamrin City,821106298940,KANAYA,RTMCL7V5YX41PJ,2021-08-25 10:25:00.968,1,14.0,70000.0,N
KPO Thamrin City,852623821380,NOVI,RTMCL7V5YX41YJ,2021-08-25 10:25:00.969,1,1.0,30100.0,N
KPO Thamrin City,81184669840,AGAZIELY,RTMCL7V5YXGGEY,2021-08-25 10:25:00.970,1,1.0,5000.0,N
KPO Thamrin City,81287583809,NAIMAH,RTMCL7V5YXGGKY,2021-08-25 10:25:00.971,1,1.0,5000.0,N
KPO Thamrin City,81319158817,DCL PREMIUM,RTMCL7V5Z5E10Y,2021-08-25 10:25:00.972,1,4.0,20000.0,N
KPO Thamrin City,821113605990,CIELO HIJAB,RTMCL7V5Z86MQY,2021-08-25 10:25:00.973,1,2.0,10000.0,N
KPO Thamrin City,8121041661,RAUDHAH,RTMCL7V5Z96X3J,2021-08-25 10:25:00.974,1,1.0,5000.0,N
KPO Thamrin City,85811038365,VIENDRA SYARI,RTMCL7V5ZBK13Y,2021-08-25 10:25:00.975,1,16.0,40000.0,N
KPO Thamrin City,82111514741,ASIH BATIK,RTMCL7V5ZM0KWY,2021-08-25 10:25:00.976,1,6.0,30000.0,N
KPO Thamrin City,2131990440,INDIAN VILLAGE,RTMCL7V5ZM9BKE,2021-08-25 10:25:00.977,1,1.0,5000.0,N
KPO Thamrin City,85817468264,RINA,RTMCL7V5ZMW05J,2021-08-25 10:25:00.978,1,1.0,5000.0,N
KPO Thamrin City,85811038365,VIENDRA SYARI,RTMCL7V5ZMW0EJ,2021-08-25 10:25:00.979,1,2.0,10000.0,N
KPO Thamrin City,81210915166,NAIMAH,RTMCL7V5ZMW0GJ,2021-08-25 10:25:00.980,1,1.0,5000.0,N
KPO Thamrin City,878861271770,RIZQY ANANDA,RTMCL7V5ZNNYDY,2021-08-25 10:25:00.981,1,4.0,33600.0,N
KPO Thamrin City,87787060575,AR LABEL STORE,RTMCL7V5ZNNYGW,2021-08-25 10:25:00.982,1,1.0,5000.0,N
KPO Thamrin City,85615556200,VIENDRA SYARI,RTMCL7V5ZNX93G,2021-08-25 10:25:00.983,1,13.0,65000.0,N
KPO Thamrin City,85219396240,RIZKI HIJAB,RTMCL7V5ZNX93J,2021-08-25 10:25:00.984,1,1.0,5000.0,N
KPO Thamrin City,857115583660,SARKIS HIJAB,RTMCL7V5ZNX98G,2021-08-25 10:25:00.985,1,2.0,10000.0,N
KPO Thamrin City,87776336292,AMMARA HIJAB,RTMCL7V5ZNX9EJ,2021-08-25 10:25:00.986,1,2.0,10000.0,N
KPO Thamrin City,87841234789,ZRN,RTMCL7VG83JD3J,2021-08-25 10:25:00.987,1,4.0,20000.0,N
KPO Thamrin City,85781680282,ELIS BARUS,RTMCL7VG83MM1Y,2021-08-25 10:25:00.988,1,1.0,5000.0,N
KPO Thamrin City,85615556200,VIENDRA SYARI,RTMCL7VG83MMJY,2021-08-25 10:25:00.989,1,2.0,26600.0,N
KPO Thamrin City,81295208460,RISVI,RTMCL7VG86V073,2021-08-25 10:25:00.990,1,3.0,15000.0,N
KPO Thamrin City,812890235470,UNIE OUTFIT,RTMCL7VG86V0D3,2021-08-25 10:25:00.991,1,2.0,10000.0,N
KPO Thamrin City,81311177925,GALLERY SYARIFAH,RTMCL7VG86V0XE,2021-08-25 10:25:00.992,1,4.0,20000.0,N
KPO Thamrin City,8121089999200,GAGIL,RTMCL7VG8KY3VY,2021-08-25 10:25:00.993,1,2.0,10000.0,N
KPO Thamrin City,85811038365,VIENDRA SYARI,RTMCL7VG8KY3ZY,2021-08-25 10:25:00.994,1,3.0,15000.0,N
KPO Thamrin City,81281916252,ARUMAISHA,RTMCL7VG8MGM8E,2021-08-25 10:25:00.995,1,1.0,5000.0,N
KPO Thamrin City,81519999620,PIPIK,RTMCL7VG8N1K0Y,2021-08-25 10:25:00.996,1,1.0,5000.0,N
KPO Thamrin City,81310188821,APINCO,RTMCL7VG8NBW3J,2021-08-25 10:25:00.997,1,1.0,5000.0,N
KPO Thamrin City,85692565944,TYARA HIJAB,RTMCL7VG8NBW9J,2021-08-25 10:25:00.998,1,1.0,8900.0,N
KPO Thamrin City,81299120125,GOTA LABEL,RTMCL7VG8NBWEJ,2021-08-25 10:25:00.999,1,2.0,10000.0,N
KPO Thamrin City,81281916252,ARUMAISHA,RTMCL7VG8NMQZE,2021-08-25 10:25:00.1000,1,1.0,5000.0,N
KPO Thamrin City,87809384142,FENTY,RTMCL7VGB30ZNE,2021-08-25 10:25:00.1001,1,1.0,9800.0,N
KPO Thamrin City,81319426363,KAK DIANA,RTMCL7VGB3V8PY,2021-08-25 10:25:00.1002,1,1.0,9800.0,N
KPO Thamrin City,81319628141,WELLA KIDS,RTMCL7VGBB5K3J,2021-08-25 10:25:00.1003,1,4.0,39200.0,N
KPO Thamrin City,8787796765,ALIRA,RTMCL7VGBBXG4E,2021-08-25 10:25:00.1004,1,2.0,9800.0,N
KPO Thamrin City,8121089999200,GAGIL,RTMCL86D71VZ66,2021-08-25 10:25:00.1005,1,2.0,10000.0,N
KPO Thamrin City,81314686750,YONNE HIJAB,RTMCL86D73NKWY,2021-08-25 10:25:00.1006,1,4.0,20000.0,N
KPO Thamrin City,81281063002,ME COLLECTION,RTMCL86D73VDVY,2021-08-25 10:25:00.1007,1,3.0,15000.0,N
KPO Thamrin City,81285343732,AMBIGU,RTMCL86D73Y1DQ,2021-08-25 10:25:00.1008,1,2.0,10000.0,N
KPO Thamrin City,85811038365,VIENDRA SYARI,RTMCL86D77X5BY,2021-08-25 10:25:00.1009,1,2.0,5000.0,N
KPO Thamrin City,821106310770,EFFONI,RTMCL86D7866EQ,2021-08-25 10:25:00.1010,1,2.0,10000.0,N
KPO Thamrin City,85811038365,VIENDRA SYARI,RTMCL86D7WEW0B,2021-08-25 10:25:00.1011,1,2.0,10000.0,N
KPO Thamrin City,85219000900,KIRANA,RTMCL86D7WEWPB,2021-08-25 10:25:00.1012,1,6.0,30000.0,N
KPO Thamrin City,85811038365,VIENDRA SYARI,RTMCL86D7ZJ4WY,2021-08-25 10:25:00.1013,1,4.0,20000.0,N
KPO Thamrin City,812111226160,MUGYA,RTMCL86D7ZJ4ZY,2021-08-25 10:25:00.1014,1,1.0,5000.0,N
KPO Thamrin City,81280272210,DIAN QONITA,RTMCL86DN7JG3G,2021-08-25 10:25:00.1015,1,2.0,9800.0,N
KPO Thamrin City,812389308520,AR LABEL STORE,RTMCL86DN7JG8G,2021-08-25 10:25:00.1016,1,2.0,9800.0,N
KPO Thamrin City,81977777021,AR SCARVES,RTMCL86DNGZB4Y,2021-08-25 10:25:00.1017,1,2.0,9800.0,N
KPO Thamrin City,85658404308,BELIFI,RTMCL86DNNQX8Q,2021-08-25 10:25:00.1018,1,2.0,9800.0,N
KPO Thamrin City,8128889378,D'LOVERA,RTMCL86DNNXDXB,2021-08-25 10:25:00.1019,1,2.0,9800.0,N
KPO Thamrin City,8128889378,D'LOVERA,RTMCL86DNZ676Q,2021-08-25 10:25:00.1020,1,3.0,29400.0,N
KPO Thamrin City,81291987024,ANNISA SYARI,RTMCL86P00MZEQ,2021-08-25 10:25:00.1021,1,1.0,5000.0,N
KPO Thamrin City,81319789391,GEMBIRA,RTMCL86P011Q3B,2021-08-25 10:25:00.1022,1,3.0,15000.0,N
KPO Thamrin City,81293925223,MARLIYAN HIJAB,RTMCL86P04QEQY,2021-08-25 10:25:00.1023,1,1.0,5000.0,N
KPO Thamrin City,81280675066,TOKO DENALI,RTMCL86P04X9DQ,2021-08-25 10:25:00.1024,1,1.0,5000.0,N
KPO Thamrin City,8953643327300,UMI WETRI,RTMCL86P09K606,2021-08-25 10:25:00.1025,1,1.0,5000.0,N
KPO Thamrin City,89666257648,NANIK IBRA,RTMCL86P09K60Q,2021-08-25 10:25:00.1026,1,2.0,10000.0,N
KPO Thamrin City,812108999920,GAGIL FASHION,RTMCL86P09K6JQ,2021-08-25 10:25:00.1027,1,5.0,25000.0,N
KPO Thamrin City,81382360705,SABRINA,RTMCL86P0BY51Y,2021-08-25 10:25:00.1028,1,1.0,5000.0,N
KPO Thamrin City,81293682194,UNI EVA,RTMCL86P0DXW1G,2021-08-25 10:25:00.1029,1,1.0,5000.0,N
KPO Thamrin City,821111719890,ALAINA BOUTIQUE,RTMCL86P0DXW8B,2021-08-25 10:25:00.1030,1,1.0,5000.0,N
KPO Thamrin City,81281063002,ME COLLECTION,RTMCL86P0J8QXB,2021-08-25 10:25:00.1031,1,1.0,5000.0,N
KPO Thamrin City,87888599279,SRIYANI,RTMCL86P0P01MY,2021-08-25 10:25:00.1032,1,3.0,15000.0,N
KPO Thamrin City,81380826763,DIANA,RTMCL86P0PK09B,2021-08-25 10:25:00.1033,1,1.0,5000.0,N
KPO Thamrin City,877870605750,AR LABEL STORE,RTMCL86P4547JB,2021-08-25 10:25:00.1034,1,1.0,5000.0,N
KPO Thamrin City,813190294880,DATIK OSLO JKT,RTMCL86P4547XB,2021-08-25 10:25:00.1035,1,4.0,20000.0,N
KPO Thamrin City,896626977520,HARDI,RTMCL86P4KDD80,2021-08-25 10:25:00.1036,1,3.0,15000.0,N
KPO Thamrin City,85813988320,DC HALAL MART JAKBAR,RTMCL86P4KGWKQ,2021-08-25 10:25:00.1037,1,1.0,5000.0,N
KPO Thamrin City,82111171989,ALAINA BOUTIQUE,RTMCL86P4Q4PXQ,2021-08-25 10:25:00.1038,1,1.0,5000.0,N
KPO Thamrin City,81218146894,RANDO COLLECTION,RTMCL86P4Q8WGB,2021-08-25 10:25:00.1039,1,4.0,20000.0,N
KPO Thamrin City,82261619852,ZEI-ZI,RTMCL86P4Q8WWB,2021-08-25 10:25:00.1040,1,1.0,5000.0,N
KPO Thamrin City,821111719890,ALAINA BOUTIQUW,RTMCL86P4VYXMQ,2021-08-25 10:25:00.1041,1,1.0,5000.0,N
KPO Thamrin City,812108999920,GAGIL FASHION,RTMCL86P4VYXVQ,2021-08-25 10:25:00.1042,1,3.0,15000.0,N
KPO Thamrin City,87878682488,MYADYLA,RTMCL86P533V0Q,2021-08-25 10:25:00.1043,1,1.0,5000.0,N
KPO Thamrin City,812829717350,IDA TC,RTMCL86P53XW1Y,2021-08-25 10:25:00.1044,1,1.0,5000.0,N
KPO Thamrin City,877892265790,NOVI,RTMCL86P57D40Y,2021-08-25 10:25:00.1045,1,2.0,5000.0,N
KPO Thamrin City,81384360199,RINDU SYARI BY AYANK,RTMCL86P57D49Y,2021-08-25 10:25:00.1046,1,2.0,5000.0,N
KPO Thamrin City,87886678181,LUSI CHEN,RTMCL86P57GBVQ,2021-08-25 10:25:00.1047,1,2.0,5000.0,N
KPO Thamrin City,812965495620,ADKA SHOP,RTMCL86P5BK010,2021-08-25 10:25:00.1048,1,1.0,5000.0,N
KPO Thamrin City,81297883361,NOVI,RTMCL86P5BK08Y,2021-08-25 10:25:00.1049,1,2.0,68800.0,N
KPO Thamrin City,87782542070,MARIA,RTMCL86P5BK0BY,2021-08-25 10:25:00.1050,1,2.0,10000.0,N
KPO Thamrin City,8569256594400,TYARA HIJAB,RTMCL86P5BK0PY,2021-08-25 10:25:00.1051,1,1.0,5000.0,N
KPO Thamrin City,81281063002,ME COLLECTION,RTMCL86P5P8YPQ,2021-08-25 10:25:00.1052,1,4.0,20000.0,N
KPO Thamrin City,85811038365,VIENDRA SYARI,RTMCL86P5Z38PY,2021-08-25 10:25:00.1053,1,1.0,5000.0,N
KPO Thamrin City,821106310770,EFFONI,RTMCL86P6NDG6B,2021-08-25 10:25:00.1054,1,2.0,10000.0,N
KPO Thamrin City,812804070300,SRIYANI,RTMCL86P6Z149B,2021-08-25 10:25:00.1055,1,1.0,5000.0,N
KPO Thamrin City,81212200707,FARAS COLL,RTMCL86P6Z96NQ,2021-08-25 10:25:00.1056,1,1.0,5000.0,N
KPO Thamrin City,81282684739,BU ANA,RTMCL86P90Q6YB,2021-08-25 10:25:00.1057,1,1.0,5000.0,N
KPO Thamrin City,812105003250,SHAYARA SYARI,RTMCL86P90XJ7Y,2021-08-25 10:25:00.1058,1,1.0,5000.0,N
KPO Thamrin City,818959598,AR LABEL STORE,RTMCL86P90XJNY,2021-08-25 10:25:00.1059,1,1.0,5000.0,N
KPO Thamrin City,82332766227,THAINTAN,RTMCL86P940QEY,2021-08-25 10:25:00.1060,1,4.0,20000.0,N
KPO Thamrin City,812108999920,GAGIL FASHION,RTMCL86P94WKZQ,2021-08-25 10:25:00.1061,1,2.0,10000.0,N
KPO Thamrin City,813390000260,OSLO HIJAB,RTMCL86P95D3EQ,2021-08-25 10:25:00.1062,1,5.0,25000.0,N
KPO Thamrin City,81210915160,NAIMAH,RTMCL86P95D3KQ,2021-08-25 10:25:00.1063,1,5.0,25000.0,N
KPO Thamrin City,81295208460,KERRY CECEP,RTMCL86P95GGGB,2021-08-25 10:25:00.1064,1,1.0,5000.0,N
KPO Thamrin City,85781902092,BELIZAH OLSHOP,RTMCL86P95GGWB,2021-08-25 10:25:00.1065,1,1.0,5000.0,N
KPO Thamrin City,81294141660,F.F COLL,RTMCL86P966M4Y,2021-08-25 10:25:00.1066,1,1.0,5000.0,N
KPO Thamrin City,85811038365,VIENDRA SYARI,RTMCL86P99M99B,2021-08-25 10:25:00.1067,1,1.0,5000.0,N
KPO Thamrin City,812975873010,NINDAH FASHION,RTMCL86P9JZDMQ,2021-08-25 10:25:00.1068,1,1.0,5000.0,N
KPO Thamrin City,81382360705,SABRINA,RTMCL86P9KBE0B,2021-08-25 10:25:00.1069,1,1.0,5000.0,N
KPO Thamrin City,81211894651,SUTAN / AMMAR,RTMCL86P9KBE9B,2021-08-25 10:25:00.1070,1,1.0,5000.0,N
KPO Thamrin City,8128889378,D'LOVERA,RTMCL86P9KBEDB,2021-08-25 10:25:00.1071,1,4.0,20000.0,N
KPO Thamrin City,81319426363,KAK DIANA,RTMCL86P9KN0MY,2021-08-25 10:25:00.1072,1,2.0,10000.0,N
KPO Thamrin City,85811038365,VIENDRA SYARI,RTMCL86P9X1Z1Y,2021-08-25 10:25:00.1073,1,6.0,30000.0,N
KPO Thamrin City,81218146894,RANDO COLLECTION,RTMCL86P9X1ZZY,2021-08-25 10:25:00.1074,1,2.0,30600.0,N
KPO Thamrin City,85770794295,LANI,RTMCL86P9YBP3Y,2021-08-25 10:25:00.1075,1,2.0,10000.0,N
KPO Thamrin City,8128889378,D'LOVERA,RTMCL86P9YBPPY,2021-08-25 10:25:00.1076,1,4.0,20000.0,N
KPO Thamrin City,812105003250,SHAYARA SYARI,RTMCL86P9YJYNB,2021-08-25 10:25:00.1077,1,1.0,5000.0,N
KPO Thamrin City,878880238120,AR LABEL STORE,RTMCL86P9YM54Q,2021-08-25 10:25:00.1078,1,1.0,5000.0,N
KPO Thamrin City,87787060575,AR LABEL STORE,RTMCL86PE40NVQ,2021-08-25 10:25:00.1079,1,1.0,5000.0,N
KPO Thamrin City,85813855188,NAURA COLLECTION,RTMCL86PE5QM1Y,2021-08-25 10:25:00.1080,1,2.0,5000.0,N
KPO Thamrin City,8128889378,D'LOVERA,RTMCL86PE5QMWY,2021-08-25 10:25:00.1081,1,8.0,20000.0,N
KPO Thamrin City,89603331999,IBU TIKA,RTMCL86PE5XYJQ,2021-08-25 10:25:00.1082,1,2.0,5000.0,N
KPO Thamrin City,81113703219,KERRY THAMRIN CITY,RTMCL86PE60EWB,2021-08-25 10:25:00.1083,1,1.0,5000.0,N
KPO Thamrin City,8121275329,STAN MARINGKA,RTMCL86PE6KVKQ,2021-08-25 10:25:00.1084,1,9.0,696700.0,N
KPO Thamrin City,81285652961,MATT,RTMCL86PJNGMNB,2021-08-25 10:25:00.1085,1,1.0,5000.0,N
KPO Thamrin City,818959519,AR LABEL STORE,RTMCL86PJQQ3WQ,2021-08-25 10:25:00.1086,1,2.0,10000.0,N
KPO Thamrin City,81322224234,SRI SULISTYOWATI,RTMCL86PK5WMG6,2021-08-25 10:25:00.1087,1,1.0,5000.0,N
KPO Thamrin City,81296640870,SALIM HIJAB,RTMCL86PK5WMWQ,2021-08-25 10:25:00.1088,1,1.0,5000.0,N
KPO Thamrin City,85213477524,WF STORE,RTMCL86PKKP0JQ,2021-08-25 10:25:00.1089,1,6.0,15000.0,N
KPO Thamrin City,81382360705,SABRINA,RTMCL86PKKQV5B,2021-08-25 10:25:00.1090,1,1.0,5000.0,N
KPO Thamrin City,831823296150,BUNDA CACA,RTMCL86PKMZ4M6,2021-08-25 10:25:00.1091,1,1.0,5000.0,N
KPO Thamrin City,838311143080,ABITI MOSLEM STYLE,RTMCL86PKMZ4QQ,2021-08-25 10:25:00.1092,1,1.0,5000.0,N
KPO Thamrin City,81285652961,RAHMAT FITRA,RTMCL86PKQ6X4Q,2021-08-25 10:25:00.1093,1,1.0,5000.0,N
KPO Thamrin City,81281999715,AYUDIAH ( GALERIE AURASYA),RTMCL86PKVB9DY,2021-08-25 10:25:00.1094,1,1.0,5000.0,N
KPO Thamrin City,812211158710,RESTU MANDEH J.K.T,RTMCL86PM00QJQ,2021-08-25 10:25:00.1095,1,3.0,26800.0,N
KPO Thamrin City,8128800852,TOKO ANTANIA / BETNY,RTMCL86PM0WEQB,2021-08-25 10:25:00.1096,1,1.0,5000.0,N
KPO Thamrin City,87780800902,MY FASHION,RTMCL86PM3KMNQ,2021-08-25 10:25:00.1097,1,1.0,5000.0,N
KPO Thamrin City,8128625928,BRISHA,RTMCL86PM4BPGQ,2021-08-25 10:25:00.1098,1,2.0,5000.0,N
KPO Thamrin City,812808960540,DEBBIE'S,RTMCL86PM4M50B,2021-08-25 10:25:00.1099,1,2.0,5000.0,N
